
Начало новой программы
[20 ноября 2018 | 10:44:28][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:29][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:29][Robot]-Робот прошел назад
[20 ноября 2018 | 10:44:29][Robot]-Робот прошел назад

Начало новой программы
[20 ноября 2018 | 10:52:39][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:39][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:39][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:40][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:40][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:40][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:40][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:40][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:41][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:41][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:41][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:41][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:41][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:42][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:42][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:42][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:42][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:42][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:43][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:45][Interaption]-Человек в погрузочной зоне
[20 ноября 2018 | 10:52:54][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:54][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:55][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:56][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:57][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:57][Interaption]-Пауза главного технолога
[20 ноября 2018 | 10:52:58][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:58][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:59][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:52:59][Robot]-Робот взял деталь
[20 ноября 2018 | 10:53:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:00][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:01][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:02][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:02][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:03][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:04][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:05][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:05][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:05][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:05][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:05][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:06][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:06][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:06][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:06][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:06][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:07][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:07][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:07][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:07][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:07][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:08][Robot]-Робот повернулся на лево
[20 ноября 2018 | 10:53:08][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:08][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:08][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:09][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:09][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:10][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:11][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:12][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:13][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:14][Robot]-Робот прошел вперед
